Pio Cesare Gavi,тихое,Пьемонт,Pio Cesare, Италия, 0,75 л, сухое, 12,5%
Joseph Mellot Pouilly-Fume Le Troncsec,тихое,Долина Луары,Joseph Mellot, Франция, 0,75 л, сухое, 12,5%
Laroche Chablis,тихое,Бургундия,Laroche, Франция, 0,75 л, сухое, 12,5%
Schild Estate Barossa Valley Merlot,тихое,Долина Баросса,Schild Estate Wines, Австралия, 0,75 л, сухое, 14,50%
Villa Sparina Barbera del Monferrato (подарочная упаковка),тихое,Пьемонт,Villa Sparina, Италия, 0,75 л, сухое, 13,5%
Schild Estate Barossa Valley Shiraz,тихое,Долина Баросса,Schild Estate Wines, Австралия, 0,75 л, сухое, 14,50%
Saracco Pinot Nero,тихое,Пьемонт,Paolo Saracco, Италия, 0,75 л, сухое, 13,5%
Domaine St Francois Xavier Gigondas,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 14,5%
Les Gretes Valle d’Aosta Chardonnay,тихое,Валле д'Аоста,Les Cretes, Италия, 0,75 л, сухое, 13,5%
Chateau Pontet Saint Emilion Grand Cru,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 12,50%
Fontana Candida Luna Mater,тихое,Лацио,Fontana Candida, Италия, 0,75 л, сухое, 14,5%
Marques De Caceres Rioja Reserva,тихое,Риоха,Marques De Caceres, Испания, 0,75 л, сухое, 14,0%
Vietti Barbera d’Alba Tre Vigne,тихое,Пьемонт,Vietti, Италия, 0,75 л, сухое, 13,5%
Lusco Albarino,тихое,Риас Байшас,Dominio de Tares, Испания, 0,75 л, сухое, 13,0%
Obalo Reserva,тихое,Риоха,Avanteselecta, Испания, 0,75 л, сухое, 14,0%
Maison Louis Latour Pinot Noir Bourgogne,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,00%
La Passion des Terroirs Chateau Duplessis,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 14,00%
Bernard Magrez Mon Seul Reve,тихое,Лангедок-Руссильон,Bernard Magrez, Франция, 0,75 л, сухое, 14,5%
Cantine Pellegrino Vino Marsala Vergine Annata,крепленое,Сицилия,Cantine Pellegrino, Италия, 0,75 л, полусухое, 19,0%
Maison Louis Latour Chablis 1er Cru,тихое,Бургундия,Louis Latour, Франция, 0,375 л, сухое, 13,0%
Brumont Chateau Bouscasse Larmes Celestes,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,5 л, сладкое, 13,0%
Advini Josselin Chablis,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 12,5%
Joseph Les Coteaux Domaine Durand,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,0%
Capannelle Rosato,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 12,0%
Jean-Luc Colombo Terres Brulees Cornas,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,5%
Kuentz-Bas Cuvee Caroline Riesling Vendange Tardive,тихое,Эльзас,Kuentz-Bas, Франция, 0,5 л, сладкое, 13.00%
R De Rieussec,тихое,Бордо,Chateau Rieussec, Франция, 0,75 л, сухое, 12,50%
Brumont Chateau Bouscasse Larmes Celestes,тихое,Долина Луары,Brumont Vignobles, Франция, 0,5 л, сладкое, 13,0%
Kuentz-Bas Riesling Trois Chateaux,тихое,Эльзас,Kuentz-Bas, Франция, 0,75 л, полусухое, 13,0%
Chateau Cambon La Pelouse,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Arnaldo Caprai Montefalco Rosso,тихое,Умбрия,Arnaldo Caprai, Италия, 0,75 л, сухое, 14,0%
Advini Josselin Chablis,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 12,0%
Maison Louis Latour Marsannay Blanc,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Rolland Collection San Pedro de Yacochuya Torrontes,тихое,Сальта,Rolland Collection, Аргентина, 0,75 л, сухое, 14,7%
Domaine Laroche Chablis 1er Cru Vaillons Vieilles Vignes,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 13,00%
Santa Ana Unanime Gran Vino Tinto,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, сухое, 14,5%
Vietti Roero Arneis,тихое,Пьемонт,Vietti, Италия, 0,75 л, сухое, 13,5%
Pio Cesare Barbera d'Alba,тихое,Пьемонт,Pio Cesare, Италия, 0,75 л, сухое, 14,0%
Altano Quinta do Ataide Reserva,тихое,Доуро,Symington, Португалия, 0,75 л, сухое, 14,0%
Tenute Perini Campochiaro Passito,тихое,Тоскана,Tenute Perini, Италия, 0,375 л, сладкое, 14,5%
Vietti Nebbiollo Perbacco,тихое,Пьемонт,Vietti, Италия, 0,75 л, сухое, 13%
Albert Bichot Bourgogne Pinot Noir Secret de Famille,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 13,00%
Vina Herminia Crianza,тихое,Риоха,Vina Herminia, Испания, 1,5 л, сухое, 14,00%
Albert Bichot Bourgogne Chardonnay Secret de Famille,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 12,5%
Simonnet Febvre Chablis,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 12,5%
Chateau La Croix Meunier,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,0%
Advini Josselin Chablis Premier Cru,тихое,Бургундия,Advini, Франция, 0,75 л, сухое, 12,0%
Castello di Monsanto Chianti Classico,тихое,Тоскана,Castello di Monsanto, Италия, 0,75 л, сухое, 13,5%
Rolland Collection Mariflor Pinot Noir,тихое,Мендоза,Rolland Collection, Аргентина, 0,75 л, сухое, 15,0%
Crozes Hermitage Esquisse,тихое,Долина Роны,Ambiance Rhone Terroirs, Франция, 0,75 л, сухое, 13,0%
Santero Asti Carved Magnum,игристое,Пьемонт,Santero, Италия, 1,5 л, сладкое, Не указано
Masottina Valdobbiadene Superiore di Cartizze Dry,игристое,Венето,Masottina, Италия, 0,75 л, сухое, 11,5%
La Scolca Soldati La Scolca,игристое,Пьемонт,La Scolca, Италия, 0,75 л, брют, 12,5%
Mastrojanni Rosso di Montalcino,тихое,Тоскана,Mastrojanni, Италия, 0,75 л, сухое, 13,50%
Emiliana Coyam,тихое,Кольчагуа,Emiliana, Чили, 0,75 л, сухое, 14,50%
O. Fournier Alfa Crux Malbec,тихое,Мендоза,O. Fournier, Аргентина, 0,75 л, сухое, 15,0%
Penfolds Bin 28 Kalimna Shiraz,тихое,Южная Австралия,Penfolds, Австралия, 0,75 л, сухое, 14,5%
Maison Louis Latour Marsannay Blanc,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,00%
Albert Bichot Bourgogne Pinot Noir Secret de Famille,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 12,5%
Donnafugata Cerasuolo Di Vittoria,тихое,Сицилия,Donnafugata, Италия, 0,75 л, сухое, 13,00%
Arnaldo Caprai Montefalco Vigna Flaminia Maremmana,тихое,Умбрия,Arnaldo Caprai, Италия, 0,75 л, сухое, 14,5%
Osborne Porto Vintage,крепленое,Траз-уш-Монтиш,Osborne, Португалия, 0,75 л, сладкое, 20,0%
Clos Floridene Blanc,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Clos Floridene Rouge,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
Clos Floridene Rouge,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
Marques De Caceres Rioja Crianza,тихое,Риоха,Marques De Caceres, Испания, 1,5 л, сухое, 13,50%
La Bioca Barbaresco,тихое,Пьемонт,La Bioca, Италия, 0,75 л, сухое, 14,5%
Re Manfredi Serpara Aglianico del Vulture,тихое,Базиликата,Re Manfredi, Италия, 0,75 л, сухое, 14,5%
Jean-Luc Colombo Les Fees Brunes Crozes-Hermitage,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,0%
Albert Bichot Chablis Domaine Long-Depaquit,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, Не указано
Bodegas Frontaura Crianza,тихое,Кастилия и Леон,Frontaura, Испания, 0,75 л, сухое, 14,5%
E.Guigal Crozes-Hermitage Blanc,тихое,Долина Роны,E.Guigal, Франция, 0,75 л, сухое, 13,00%
Колонист Каберне Мерло Винтаж,тихое,Одесская область,Kolonist, Украина, 0,75 л, сухое, 13,0%
Les Cretes Valle d’Aosta Cuvee Bois Chardonnay,тихое,Валле д'Аоста,Les Cretes, Италия, 0,75 л, сухое, 13,0%
Abbazia Di Novacella Praepositus Gewurztraminer,тихое,Трентино-Альто Адидже,Abbazia di Novacella, Италия, 0,75 л, сухое, 14,5%
Osborne Montecillo Gran Reserva,тихое,Риоха,Osborne, Испания, 0,75 л, сухое, 13,5%
Mastrojanni San Pio Rosso,тихое,Тоскана,Mastrojanni, Италия, 0,75 л, сухое, 15,0%
Le Haut Medoc De Giscours,тихое,Бордо,Ch?teau Giscours, Франция, 0,75 л, сухое, 13,5%
Penfolds Bin 51 Eden Valley Riesling,тихое,Южная Австралия,Penfolds, Австралия, 0,75 л, сухое, 12,5%
Capannelle Chianti Classico Riserva,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 13,0%
Dakishvili Family Selection Red,тихое,Кахетия,Dakishvili Family Winery, Грузия, 0,75 л, сухое, 13,50%
Chateau Beaumont Cru Bourgeois Haut Medoc,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Maison Louis Latour Chablis La Chanfleure,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Rolland Collection Campo Alegre,тихое,Кастилия и Леон,Rolland Collection, Испания, 0,75 л, сухое, 15,0%
Bodegas Emilio Moro Emilio Moro,тихое,Рибера дель Дуэро,Emilio Moro, Испания, 0,75 л, сухое, 14,5%
Bodegas Emilio Moro Emilio Moro,тихое,Кастилия и Леон,Emilio Moro, Испания, 0,75 л, сухое, 14,0%
Dr. Heidemanns-Bergweiler Bernkasteler alte Badstube am Doctorberg Riesling Spatlese,тихое,Мозель,Dr. Heidemanns-Bergweiler, Германия, 0,75 л, полусладкое, 9,5%
Vietti Roero Arneis,тихое,Пьемонт,Vietti, Италия, 0,75 л, сухое, 13,50%
O. Fournier Alfa Centauri,тихое,Мауле,O. Fournier, Чили, 0,75 л, сухое, 14,5%
Bernard Magrez Chateau Fombrauge Blanc,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 13,0%
Maison Bouey Villa des Crus Margaux,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,5%
Kuentz-Bas Pinot Gris Eichberg,тихое,Эльзас,Kuentz-Bas, Франция, 0,75 л, сладкое, 14,0%
Bernard Magrez Chateau Fombrauge,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, Не указано
Tokaj Oremus Tokaji Aszu 3 puttonyos,тихое,Токай,Tokaj Oremus, Венгрия, 0,5 л, сладкое, 12,0%
Rollan de By Chateau La Clare,тихое,Бордо,Rollan de By, Франция, 0,75 л, сухое, 13,0%
Albert Bichot Mercurey,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 13,0%
O. Fournier Tinta del Pais,тихое,Рибера дель Дуэро,O. Fournier, Испания, 0,75 л, сухое, 14,5%
Bernard Magrez Egregore,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 15,0%
Maison Louis Latour Montagny 1er Cru La Grande Roche,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Castello di Monsanto Chianti Classico Riserva,тихое,Тоскана,Castello di Monsanto, Италия, 0,75 л, сухое, 14,0%
Chateau La Prade,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 15,0%
Louis Latour Chablis La Chanfleure,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Castello di Ama Chianti Classico Riserva,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,5%
Laporte Sancerre Les Grandmontains Rouge,тихое,Долина Луары,Laporte, Франция, 0,75 л, сухое, 13,0%
Simonnet Febvre Chablis Premier Cru Vaillons,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,00%
Maison Louis Latour Chablis La Chanfleure,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,00%
Rollan de By Chateau Greysac,тихое,Бордо,Rollan de By, Франция, 0,75 л, сухое, 14.00%
Simonnet Febvre Chablis Premier Cru,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,00%
Castellani Amarone Della Valpolicella Classico,тихое,Венето,Michele Castellani, Италия, 0,75 л, полусухое, 15,50%
Bussola Valpolicella Classico Superiore TB,тихое,Венето,Tommaso Bussola, Италия, 0,75 л, сухое, 14,5%
Albert Bichot Mercurey Pierre Milley Domaine Adelie,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, Не указано
Bernard Magrez Esperanca,тихое,Доуро,Bernard Magrez, Португалия, 0,75 л, сухое, 13,5%
Les Allees de Cantemerle,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Bodegas Cepa 21 Hito,тихое,Рибера дель Дуэро,Emilio Moro, Испания, 0,75 л, сухое, 13,5%
O. Fournier Spiga,тихое,Рибера дель Дуэро,O. Fournier, Испания, 0,75 л, сухое, 14,5%
L'Heritage De Chasse Spleen,тихое,Бордо,Chasse Spleen, Франция, 0,75 л, сухое, 13,0%
Bernard Magrez Egregore,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 15,0%
L’Heritage de Chasse Spleen,тихое,Бордо,Chasse Spleen, Франция, 0,75 л, сухое, 13,0%
Castello di Ama Haiku,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,0%
Celler Credo Estrany,тихое,Пенедес,Celler Credo, Испания, 0,75 л, сухое, 12,0%
Castello di Monsanto Chianti Classico Riserva,тихое,Тоскана,Castello di Monsanto, Италия, 0,75 л, сухое, 14,0%
Castello di Ama Chianti Classico San Lorenzo,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,00%
Simonnet Febvre Chablis 1er Cru Montmains,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,00%
Brumont Chateau Montus Madiran,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,75 л, сухое, 14,0%
Marques De Caceres Rioja Gran Reserva,тихое,Риоха,Marques De Caceres, Испания, 0,75 л, сухое, 14,0%
Champagne Lanson Black Label Brut,игристое,Шампань,Lanson, Франция, 0,2л х 2, брют, 12,5%
Legende de La Tour Carnet,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Bernard Magrez Chateau Perenne,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 13,5%
Les Demoiselles de Larrivet Haut-Brion Blanc,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 14,0%
Chateau Malescasse,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 14,0%
Chateau D’Aurilhac,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 14,0%
Maison Louis Latour Cote de Beaune Villages,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Albert Bichot Cotes de Nuits Villages,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 12,5%
Simonnet-Febvre Chablis Premier Cru Cru Mont de Millieu,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,00%
Simonnet Febvre Chablis Premier Cru Vaillons,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
Oremus Tokaji Aszu 3 puttonyos,тихое,Токай,Tokaj Oremus, Венгрия, 0,5 л, сладкое, 12,5%
Les Hauts De Pez,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Les Brulieres de Beychevelle,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,50%
Castello di Ama San Lorenzo,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,0%
Chateau Lanessan,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 14,0%
Chateau Bernadotte,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 14,0%
Maison Louis Latour Cote de Beaune Villages,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Chateau Citran,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Capezzana Ghiaie Della Furba,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 14,0%
Chateau Cartier,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,0%
Maison Louis Latour Cote de Nuits Villages,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Chateau Carbonnieux Blanc,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 12,5%
Rolland Collection Bonne Nouvelle,тихое,Южная Африка,Rolland Collection, ЮАР, 0,75 л, сухое, 15,00%
Chateau Carbonnieux Blanc,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Mas Martinet Martinet Bru,тихое,Каталония,Mas Martinet, Испания, 0,75 л, сухое, 14,50%
Capannelle Solare,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 13,0%
Maison Louis Latour Cote de Nuits Villages,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Mas Martinet Martinet Bru,тихое,Каталония,Mas Martinet, Испания, 0,75 л, сухое, 15.00%
Brumont Chateau Montus Pacherenc du Vic-Bilh,тихое,Юго-Запад Франции,Brumont Vignobles, Франция, 0,75 л, сухое, 14,0%
La Reserve De Malartic Rouge,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 14,0%
Chateau Carbonnieux Blanc,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Mastroberardino Radici Taurasi,тихое,Кампания,Mastroberardino, Италия, 0,75 л, сухое, 14,00%
Capannelle Chardonnay Toscana,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 13,0%
Schild Estate Sparkling Shiraz,игристое,Долина Баросса,Schild Estate Wines, Австралия, 0,75 л, сухое, 13,50%
Castello Di Ama Chianti Classico Riserva,тихое,Тоскана,Castello di Ama, Италия, 0,75 л, сухое, 13,5%
Hans Tschida Angerhof Gruner Veltliner Eiswein,тихое,Бургенланд,Tschida, Австрия, 0,375 л, сладкое, 9,5%
Marquis De Calon Second Vin De Chateau Calon-Segur,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 14,0%
Castellani Amarone Della Valpolicella Classico,тихое,Венето,Michele Castellani, Италия, 0,75 л, полусухое, 15,50%
Simonnet-Febvre Chablis Premier Cru Mont de Milieu,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
Vie Di Romans Piere Sauvignon Blanc,тихое,Вие ди Романс,Vie Di Romans, Италия, 0,75 л, сухое, 13,5%
Capezzana Vin Santo di Carmignano Riserva,тихое,Тоскана,Capezzana, Италия, 0,375 л, сладкое, 13,5%
Castellani Amarone Della Valpolicella Classico Campo Casalin,тихое,Венето,Michele Castellani, Италия, 0,75 л, сухое, 15,50%
Chateau Potensac (в коробке),тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,00%
E.Guigal Saint-Joseph Rouge,тихое,Долина Роны,E.Guigal, Франция, 0,75 л, сухое, 13,50%
Chateau Potensac,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Chateau Potensac,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 13,0%
Jacques Charlet Pouilly Fuisse Les Ronzettes,тихое,Бургундия,Jacques Charlet, Франция, 0,75 л, сухое, 13,0%
Bernard Magrez Chateau Latrezotte Le Sauternes de Ma Fille,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сладкое, 13,0%
Maison Louis Latour Mercurey Rouge,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Chateau La Grande Clotte,тихое,Бордо,Rolland Collection, Франция, 0,75 л, сухое, 14,5%
Chateau La Cabane,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 12,5%
Bodegas Cepa 21,тихое,Рибера дель Дуэро,Emilio Moro, Испания, 0,75 л, сухое, 14,0%
Buttafuoco Storico Vigna Pregana,тихое,Ломбардия,Az. Agr. Quaquarini Francesco, Италия, 0,75 л, сухое, 13,5%
Bodegas Cepa 21,тихое,Рибера дель Дуэро,Emilio Moro, Испания, 0,75 л, сухое, 14,5%
Jean-Luc Colombo Cornas Les Ruchets,тихое,Долина Роны,Vins Jean-Luc Colombo, Франция, 0,75 л, сухое, 13,5%
Rolland Collection Bonne Nouvelle,тихое,unknown,Rolland Collection, ЮАР, 0,75 л, сухое, 15,0%
Rollan de By Chateau Tour Seran,тихое,Бордо,Rollan de By, Франция, 0,75 л, сухое, 13,5%
Simonnet Febvre Chablis Premier Cru Mont de Milieu,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
Castellani Amarone Della Valpolicella Classico I Castei,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, полусухое, 16,0%
Chateau Marsac Seguineau,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Chateau Rollan de By Cru Bourgeois Medoc,тихое,Бордо,Rollan de By, Франция, 0,75 л, сухое, 13,50%
Maison Louis Latour Mercurey Rouge,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, Не указано
Albert Bichot Chablis 1er Cru Les Vaucopins Domaine Long-Depaquit,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 13,0%
Maison Louis Latour Savigny-les-Beaune Blanc,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,5%
Albert Bichot Chablis 1er Cru Le Lys Domaine Long-Depaquit,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 13,0%
Maison Louis Latour Savigny-les-Beaune,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,5%
Tasca d'Almerita Tascante,тихое,Сицилия,Tasca d'Almerita, Италия, 0,75 л, сухое, 13,5%
Penfolds Bin 23 Pinot Noir,тихое,Южная Австралия,Penfolds, Австралия, 0,75 л, сухое, 14,0%
Georg Breuer Terra Montosa,тихое,Рейнгау,Georg Breuer, Германия, 0,75 л, полусухое, 11,5%
Chateau La Grande Clotte,тихое,Бордо,Rolland Collection, Франция, 0,75 л, сухое, 14,5%
E.Guigal Gigondas Rouge,тихое,Долина Роны,E.Guigal, Франция, 0,75 л, сухое, 14,50%
Dr. Heidemanns-Bergweiler Bernkasteler alte Badstube am Doctorberg Riesling Auslese,тихое,Мозель,Dr. Heidemanns-Bergweiler, Германия, 0,75 л, сладкое, 7,5%
Maison Louis Latour Mercurey Rouge,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Chateau Suduiraut,тихое,Бордо,Maison Bouey, Франция, 0,375 л, сладкое, 14,0%
Albert Bichot Chablis 1er Cru Le Lys Domaine Long-Depaquit,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 13,00%
Castellani Amarone Della Valpolicella Classico Campo Casalin,тихое,Венето,Michele Castellani, Италия, 0,75 л, сухое, 15,50%
Chateau Hermitage Mazeyres,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Gerard Depardieu La Croix de Peyrolie,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сухое, 15,5%
Capannelle Solare,тихое,Тоскана,Capannelle, Италия, 0,75 л, сухое, 13,0%
Taittinger Demi-Sec,игристое,Шампань,Taittinger, Франция, 0,75 л, полусухое, 12,5%
Castellani Amarone Della Valpolicella Classico I Castei Campo Casalin,тихое,Венето,Castellani Michele & Figli, Италия, 0,75 л, полусухое, 16,0%
Maison Bouey Chateau Clos L'eglise,тихое,Бордо,Maison Bouey, Франция, 0,75 л, сухое, 14,00%
Mazzei Fonterutoli Chianti Classico,тихое,Тоскана,Marchesi Mazzei, Италия, 1,5 л, сухое, 13,5%
Maison Louis Latour Chablis Premier Cru Montmains,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Albert Bichot Chablis 1er Cru Les Vaucopins Domaine Long-Depaquit,тихое,Бургундия,Albert Bichot, Франция, 0,75 л, сухое, 13,00%
Chateau Fontenil,тихое,Бордо,Rolland Collection, Франция, 0,75 л, сухое, 14,0%
Simonnet Febvre Chablis 1er Cru Fourchaume,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
Goulee by the Cos d’Estournel,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 14,0%
Fleur De Clinet,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 14,0%
Duluc de Branaire-Ducru,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,5%
Capezzana Trefiano Carmigniano,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 14,00%
Capezzana Trefiano,тихое,Тоскана,Capezzana, Италия, 0,75 л, сухое, 14,00%
Goulee by the Cos d’Estournel,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 14,5%
Maison Louis Latour Beaune Rouge,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,5%
La Sirene De Giscours,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сухое, 13,0%
Maison Louis Latour Chablis Premier Cru,тихое,Бургундия,Louis Latour, Франция, 0,75 л, сухое, 13,0%
Cypres De Climens,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сладкое, 13,5%
Kuentz-Bas Gewurztraminer Cuvee Caroline Vendange Tardive,тихое,Эльзас,Kuentz-Bas, Франция, 0,75 л, полусладкое, 14,0%
Chateau de Rolland Sauternes,тихое,Бордо,Barriere Freres, Франция, 0,75 л, сладкое, 14,0%
Produttori del Barbaresco Barbaresco,тихое,Пьемонт,Produttori del Barbaresco, Италия, 0,75 л, сухое, 14,5%
Frank Phelan,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 13,5%
O. Fournier Syrah - Cabernet Sauvignon,тихое,Мендоза,O. Fournier, Аргентина, 0,75 л, сухое, 15,5%
Recaredo Intens Rosat Gran Reserva Brut Nature,игристое,Каталония,Recaredo, Испания, 0,75 л, брют, 12,0%
La Goulee by Cos d'Estournel,тихое,Бордо,Rolland Collection, Франция, 0,75 л, сухое, 13,5%
Hans Tschida Angerhof Samling 88 Trockenbeerenauslese,тихое,Бургенланд,Tschida, Австрия, 0,375 л, сладкое, 8,5%
Les Demoiselles De Larrivet Haut-Brion Rouge,тихое,Бордо,La Passion des Terroirs, Франция, 0,75 л, сухое, 14,5%
Champagne Jacquart Brut Mosaique,игристое,Шампань,Jacquart, Франция, 0,75 л, брют, 12,5%
Bodega Del Palacio De Los Frontaura Y Victoria Frontaura Reserva,тихое,Торо,Frontaura, Испания, 0,75 л, сухое, 14,0%
Produttori del Barbaresco Barbaresco,тихое,Пьемонт,Produttori del Barbaresco, Италия, 0,75 л, сухое, 14,5%
Bernard Magrez Chateau Haut Bommes Sauternes,тихое,Бордо,Bernard Magrez, Франция, 0,75 л, сладкое, 14,00%
Simonnet-Febvre Chablis Premier Cru Fourchaume,тихое,Бургундия,Simonnet-Febvre, Франция, 0,75 л, сухое, 13,0%
La Bioca Aculei Barolo,тихое,Пьемонт,La Bioca, Италия, 0,75 л, сухое, 14,0%
