Care Tinto Joven Garnacha Syrah,тихое,Арагон,Bodegas Care, Испания, 0,75 л, сухое, 13,50%
G7 Carmenere,тихое,unknown,Vina Carta Vieja, Чили, 0,75 л, сухое, 13,0%
Vallformosa Lavina Blanco Semi-Dulce,тихое,Каталония,Masia Vallformosa, Испания, 0,75 л, полусладкое, 11,50%
Grandes Vinos y Vinedos El Circo Equilibrista Carinena,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,50%
Grandes Vinos y Vinedos El Circo Acrobata Garnacha,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,5%
Grandes Vinos y Vinedos El Circo Volatinero Tempranillo,тихое,Арагон,Grandes Vinos y Vinedos, Испания, 0,75 л, сухое, 13,0%
Vallformosa Lavina Tempranillo,тихое,Каталония,Masia Vallformosa, Испания, 0,75 л, сухое, 12,5%
Santa Ana Varietales Torrontes,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, полусухое, 13,0%
Covinca Terrai OVG15,тихое,Арагон,Covinca, Испания, 0,75 л, сухое, 14,00%
Balance Best Blends Chardonnay Pinot Noir,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 13,0%
Balance Best Blends Sauvignon Blanc Semillon,тихое,Вестерн Кейп,Overhex Wines, ЮАР, 0,75 л, сухое, 12,0%
Santa Ana Varietales Cabernet Sauvignon,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, полусухое, 12,5%
Marani Пиросмани,тихое,unknown,Marani, Грузия, 0,75 л, полусухое, 12,50%
Santa Ana Varietales Cabernet Sauvignon,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, полусухое, 12,5%
Peter Mertes Kafer Chardonnay Italy,тихое,Сицилия,Peter Mertes, Италия, 0,75 л, сухое, 12%
La Bioca Karina Rosato,тихое,Пьемонт,La Bioca, Италия, 0,75 л, сухое, 12,5%
Besini Alazani Valley White,тихое,Кахетия,Besini, Грузия, 0,75 л, полусладкое, 12,50%
Santa Ana Malbec Varietales Rose,тихое,Мендоза,Santa Ana, Аргентина, 0,75 л, полусухое, 12,5%
Bodegas Care Rosado Tempranillo Cabernet Sauvignon,тихое,Арагон,Bodegas Care, Испания, 0,75 л, сухое, 13,0%
Peter Mertes Kafer Pinot Grigio,тихое,Венето,Peter Mertes, Италия, 0,75 л, сухое, 12,0%
Shabo Chardonnay Reserve,тихое,Одесская область,Шабо, Украина, 0,75 л, сухое, 13,5%
Peter Mertes Kafer Merlot Italy,тихое,Сицилия,Peter Mertes, Италия, 0,75 л, сухое, 14,00%
Peter Mertes Kafer Montepulciano d`Abruzzo Italy,тихое,unknown,Peter Mertes, Италия, 0,75 л, сухое, 13,50%
Alianca Casal Mendes Rose,тихое,unknown,Alianca Casal, Португалия, 0,75 л, полусухое, 10,50%
Besini Tsinandali,тихое,Кахетия,Besini, Грузия, 0,75 л, сухое, 12,50%
